height,diameter,hopper_slope,hopper_orifice,thickness,mount_protrusion,mount_width,mount_height,m_aper_height,m_aper_width,mount_mortice,girth_band,type
60,56,34,22,2,0,15,16,12,12,3,2,B
66,75,36,27,4,1.5,30,23,12,12,5.5,1,C
70,70,37,17,7.5,0.5,30,24,12,12,4,2,C
66,63,47,25,3,0.5,34,26,11.5,12.5,5,1,C
67,68,38,20,2,0.5,31,24,11,13,5,1,C
76,78,48,23,2.5,0.5,29,26,11,12,6,1,C
75,73,45,23,3,0.5,32,25,11,12,5.5,1,C
40,43,25,9,5,1,17,13,6.5,6.5,3,1,A
73,76,46,30,3,0.5,26,22.5,11,11.5,5,2,C
97,102,50,25,6,0.3,41,30,14,15,6,1,D
94,87,52,14,7,0.5,36,29,12,14,6.5,1,D
73,82,46,19,6,0.3,34,27,11,12,5.5,1,C
64,63,33,20,3.5,3.5,24,22,9,9,5,1,B
72,65,38,15,3,0.5,25,25,10,12,5,2,C
41,35,20,6,5,0.5,16,12,6.5,6,3,2,A
74,75,40,23,5,1,34,24,11,12,5.5,2,C
68,87,45,14,10,0.5,30,24,11,12,12,2,D
84,76,43,17,12,0,27,22,10,12,12,2,D
71,75,45,17,4,0.5,27,25,10,12,5,2,C
58,72,40,20,2,2,29,24,9.5,11,5.5,1,C
70,73,40,26,2,0.5,31,22,10,12,5.5,1,C
83,83,53,15,4.5,0.5,50,25,10,12,6,1,D
89,88,57,25,2,0.5,33,20,12.5,13.5,6.5,1,D
84,85,47,25,5,0.5,32,28,16.5,13.5,6,1,D
74,73,40,12,11,0,23,18.5,9.5,10,4.5,2,C
65,88,40,27,8.5,0.5,34,26,12.5,14,6,1,D
64,70,42,21,2.5,1,27,22,10,11,4,1,C
39,38,19,7,4.5,0.5,15,11.5,5,6.5,3,1,A
64,78,44,15,2.5,1,29,25,11.5,11,4.5,2,C
88,86,47,17,8,0.5,35,22,11,12,6.5,2,D
74,80,44,20,2.5,0.5,29,27,10,12,5.5,1,C
70,66,39,18,0,3,20,20,8,10,5,2,B
60,65,30,25,0.5,4.5,25,20,10,11,5,2,B
66,76,44,25,2.5,1,33,25,12.5,14,6,1,C
62,65,37,15,3,4.5,22,20,11,12,6,2,B
64,73,39,27,2.5,2,31,24,12.5,12,5.5,2,C
96,75,45,13,12,0.5,30,25,11,12.5,5.5,1,D
43,61,26,25,3,1,21,22,12,12,7,2,B
100,90,52,21,13,2,35,27,11.5,17,8,1,E
92,80,40,18,7,1,34,25,12,14,8,1,E
54,70,35,25,2.5,5,34,20,9.5,11,5,2,C
83,79,50,21,0,1,35,20,12,16,8,1,E